symbol,interval,variant_id,direction,threshold,regime,volume_multiplier,atr_max_pct,tp_pct,sl_pct,time_stop_min,weekly_loss_stop_pct,score,return_1d,return_7d,return_30d,return_60d,return_90d,return_180d,return_365d,dd_365d,pf_365d,trades_365d
SANDUSDT,1h,short_th60_base_vm1.5_atr0.025_tp0.05_sl0.08_t2880_wk2,short,60,base,1.5,0.025,0.05,0.08,2880,0.02,163.97800917109038,0.0,0.0,-9.775469738463304,-9.321320072157013,2.3561800713294057,6.219131928670829,55.220614601402396,13.000823210060569,1.5986314259697127,42
SANDUSDT,1h,short_th60_base_vm1.5_atr0.05_tp0.05_sl0.08_t2880_wk2,short,60,base,1.5,0.05,0.05,0.08,2880,0.02,163.97800917109038,0.0,0.0,-9.775469738463304,-9.321320072157013,2.3561800713294057,6.219131928670829,55.220614601402396,13.000823210060569,1.5986314259697127,42
SANDUSDT,5m,short_th60_wide_vm1.5_atr0.025_tp0.02_sl0.04_t720_wk0,short,60,wide,1.5,0.025,0.02,0.04,720,,163.1702359159553,0.0,9.885019472150569,-5.819981462117996,2.8311146116619668,-0.6711492918969109,34.8892718708264,56.77160127523471,21.60328547128773,1.0849515843240027,569
SANDUSDT,5m,short_th60_wide_vm1.5_atr0.05_tp0.02_sl0.04_t720_wk0,short,60,wide,1.5,0.05,0.02,0.04,720,,163.1702359159553,0.0,9.885019472150569,-5.819981462117996,2.8311146116619668,-0.6711492918969109,34.8892718708264,56.77160127523471,21.60328547128773,1.0849515843240027,569
MANAUSDT,1h,short_th40_wide_vm1.5_atr0.05_tp0.035_sl0.05_t1440_wk2,short,40,wide,1.5,0.05,0.035,0.05,1440,0.02,162.81857775882267,1.2427990937266653,6.833735241884886,-5.361735311243132,7.828475398331225,2.4106882323434498,6.140519529949273,37.525994178940046,19.592888114867037,1.2195494229771129,102
MANAUSDT,1h,short_th40_wide_vm1.5_atr0.025_tp0.035_sl0.05_t1440_wk2,short,40,wide,1.5,0.025,0.035,0.05,1440,0.02,162.81857775882267,1.2427990937266653,6.833735241884886,-5.361735311243132,7.828475398331225,2.4106882323434498,6.140519529949273,37.525994178940024,19.592888114867037,1.2195494229771129,102
MOVRUSDT,1h,short_th40_base_vm1.5_atr0.05_tp0.035_sl0.05_t1440_wk2,short,40,base,1.5,0.05,0.035,0.05,1440,0.02,159.02532966013433,-0.7814442778610764,-0.7814442778610764,0.6382584632879995,2.080141963434956,9.267772624667824,-8.723163134064361,30.646116181704564,16.46499725086431,1.2358897937239166,76
CHZUSDT,5m,short_th60_wide_vm1.5_atr0.025_tp0.02_sl0.04_t720_wk2,short,60,wide,1.5,0.025,0.02,0.04,720,0.02,155.63249250526647,1.3082024715719953,-2.1596158432000134,-7.862040657127556,18.782462956698566,6.2030974782058435,1.1063827778486246,23.549769674226194,14.01813845975125,1.1074617236980329,222
CHZUSDT,5m,short_th60_wide_vm1.5_atr0.05_tp0.02_sl0.04_t720_wk2,short,60,wide,1.5,0.05,0.02,0.04,720,0.02,155.63249250526647,1.3082024715719953,-2.1596158432000134,-7.862040657127556,18.782462956698566,6.2030974782058435,1.1063827778486246,23.549769674226194,14.01813845975125,1.1074617236980329,222
RIFUSDT,1h,long_th60_base_vm1.5_atr0.025_tp0.02_sl0.08_t1440_wk0,long,60,base,1.5,0.025,0.02,0.08,1440,,152.2654533837843,0.0,0.0,-1.4226661441137378,1.484166187001823,3.4728499076022823,12.172398131593898,6.22126180095246,9.748519618676486,1.1502744537066598,46
